participant,trial,frame,t_ms,dot,x,y
01_SV,0,50,2550,7,1269.0,281.0
01_SV,0,50,2550,8,876.0,398.0
01_SV,0,50,2550,9,261.0,1348.0
01_SV,0,51,2600,0,744.0,270.0
01_SV,0,51,2600,1,1042.0,1003.0
01_SV,0,51,2600,2,1103.0,559.0
01_SV,0,51,2600,3,904.0,1116.0
01_SV,0,51,2600,4,580.0,463.0
01_SV,0,51,2600,5,552.0,525.0
01_SV,0,51,2600,6,285.0,485.0
01_SV,0,51,2600,7,1261.0,274.0
01_SV,0,51,2600,8,884.0,405.0
01_SV,0,51,2600,9,250.0,1345.0
01_SV,0,52,2650,0,747.0,281.0
01_SV,0,52,2650,1,1050.0,1011.0
01_SV,0,52,2650,2,1097.0,568.0
01_SV,0,52,2650,3,909.0,1126.0
01_SV,0,52,2650,4,591.0,461.0
01_SV,0,52,2650,5,550.0,536.0
01_SV,0,52,2650,6,280.0,475.0
01_SV,0,52,2650,7,1253.0,267.0
01_SV,0,52,2650,8,892.0,412.0
01_SV,0,52,2650,9,239.0,1342.0
01_SV,0,53,2700,0,750.0,292.0
01_SV,0,53,2700,1,1058.0,1019.0
01_SV,0,53,2700,2,1091.0,577.0
01_SV,0,53,2700,3,914.0,1136.0
01_SV,0,53,2700,4,602.0,459.0
01_SV,0,53,2700,5,548.0,547.0
01_SV,0,53,2700,6,275.0,465.0
01_SV,0,53,2700,7,1245.0,260.0
01_SV,0,53,2700,8,900.0,419.0
01_SV,0,53,2700,9,229.0,1339.0
01_SV,0,54,2750,0,753.0,303.0
01_SV,0,54,2750,1,1066.0,1027.0
01_SV,0,54,2750,2,1085.0,586.0
01_SV,0,54,2750,3,919.0,1146.0
01_SV,0,54,2750,4,613.0,457.0
01_SV,0,54,2750,5,546.0,558.0
01_SV,0,54,2750,6,270.0,455.0
01_SV,0,54,2750,7,1236.0,253.0
01_SV,0,54,2750,8,908.0,427.0
01_SV,0,54,2750,9,219.0,1335.0
01_SV,0,55,2800,0,756.0,314.0
01_SV,0,55,2800,1,1074.0,1035.0
01_SV,0,55,2800,2,1078.0,595.0
01_SV,0,55,2800,3,924.0,1156.0
